url,label,source,notes
https://www.examplecorp.test/,0,synthetic-fixture,root
https://www.examplecorp.test/about,0,synthetic-fixture,root
https://blog.examplecorp.test/posts/2026/roadmap,0,synthetic-fixture,blog
https://docs.opensourceproject.test/api/v1/reference,0,synthetic-fixture,docs
https://docs.opensourceproject.test/api/v1/reference?lang=en,0,synthetic-fixture,docs-dup
https://docs.opensourceproject.test/api/v1/reference?lang=vi,0,synthetic-fixture,docs-dup
https://shop.northwindtraders.test/cart?id=482,0,synthetic-fixture,shop
https://shop.northwindtraders.test/cart?id=482&promo=SPRING,0,synthetic-fixture,shop-dup
https://accounts.examplecorp.test/login,0,synthetic-fixture,acct
https://accounts.examplecorp.test/login?next=/dashboard,0,synthetic-fixture,acct-dup
https://news.dailyupdate.test/world/2026/08/story,0,synthetic-fixture,news
https://mail.examplecorp.test/inbox,0,synthetic-fixture,mail
http://intranet.examplecorp.test/wiki/onboarding,0,synthetic-fixture,intranet
https://cdn.staticassets.test/js/app.min.js,0,synthetic-fixture,cdn
https://api.weatherservice.test/v2/forecast?city=hanoi,0,synthetic-fixture,api
https://support.examplecorp.test/tickets/new,0,synthetic-fixture,support
https://community.forumhub.test/t/welcome-thread/1,0,synthetic-fixture,forum
https://careers.examplecorp.test/openings,0,synthetic-fixture,careers
https://status.examplecorp.test/,0,synthetic-fixture,status
https://developer.examplecorp.test/docs/getting-started,0,synthetic-fixture,dev
https://billing.examplecorp.test/invoices/2026-07,0,synthetic-fixture,billing
https://accounts.examplecorp.test/password/update,0,synthetic-fixture,acct-update
https://learn.trainingportal.test/course/python-101,0,synthetic-fixture,learn
https://wiki.examplecorp.test/Main_Page,0,synthetic-fixture,wiki
https://images.mediahost.test/gallery/summer,0,synthetic-fixture,media
https://pay.examplecorp.test/checkout?order=9911,0,synthetic-fixture,pay
https://sub.a.b.examplecorp.test/deep/nested/path,0,synthetic-fixture,deep
https://recover.examplecorp.test/account-recovery,0,synthetic-fixture,recover
https://events.examplecorp.test/2026/summit,0,synthetic-fixture,events
https://download.opensourceproject.test/releases/1.2.3.tar.gz,0,synthetic-fixture,download
https://m.examplecorp.test/,0,synthetic-fixture,mobile
https://en.wikitravel.test/City_Guide,0,synthetic-fixture,travel
https://192.0.2.10:8443/internal-dashboard,0,synthetic-fixture,ip-benign
https://gift.examplecorp.test/redeem?code=WELCOME10,0,synthetic-fixture,gift-benign
https://a.examplecorp.test/,0,synthetic-fixture,short
https://podcast.examplecorp.test/episodes/42,0,synthetic-fixture,podcast
https://xn--fr-1ka.test/menu,0,synthetic-fixture,punycode-benign
https://jobs.examplecorp.test/apply/backend-engineer,0,synthetic-fixture,jobs
